Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
YT	ALL	blood	lymphoid_neoplasm_other	0.881	0.992
WSU-NHL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.883	0.99
LAN-6	NB	nervous_system	neuroblastoma	0.93	0.967
KG-1	LAML	blood	acute_myeloid_leukaemia	0.952	0.99
NB14	NB	nervous_system	neuroblastoma	0.963	0.986
TUR	DLBC	blood	B_cell_lymphoma	1	0.988
IM-9	MM	blood	myeloma	1.01	0.992
COLO-800	SKCM	skin	melanoma	1.02	0.985
MN-60	UNCLASSIFIED	blood	B_cell_leukemia	1.03	0.98
NB7	NB	nervous_system	neuroblastoma	1.08	0.981
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	1.09	0.992
ECC4	UNCLASSIFIED	digestive_system	digestive_system_other	1.1	0.949
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	1.12	0.99
ES7	UNCLASSIFIED	bone	ewings_sarcoma	1.12	0.982
ES5	UNCLASSIFIED	bone	ewings_sarcoma	1.13	0.974
KASUMI-1	LAML	blood	acute_myeloid_leukaemia	1.15	0.985
LNCaP-Clone-FGC	PRAD	urogenital_system	prostate	1.15	0.975
RL	DLBC	blood	B_cell_lymphoma	1.16	0.99
SK-MM-2	MM	blood	myeloma	1.19	0.982
MFM-223	BRCA	breast	breast	1.2	0.986
D-283MED	MB	nervous_system	medulloblastoma	1.22	0.991
DMS-153	UNCLASSIFIED	lung	lung_small_cell_carcinoma	1.27	0.955
COLO-829	SKCM	skin	melanoma	1.32	0.957
CL-11	COREAD	digestive_system	large_intestine	1.33	0.978
NB10	NB	nervous_system	neuroblastoma	1.35	0.988
JVM-3	CLL	blood	lymphoid_neoplasm_other	1.49	0.987
Mo-T	UNCLASSIFIED	blood	hairy_cell_leukaemia	1.58	0.988
NCI-H322M	LUAD	lung	lung_NSCLC_adenocarcinoma	1.6	0.976
EW-13	UNCLASSIFIED	bone	ewings_sarcoma	1.61	0.983
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	1.66	0.984
AM-38	GBM	nervous_system	glioma	1.71	0.989
NCI-H1385	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	1.76	0.987
NH-12	NB	nervous_system	neuroblastoma	1.78	0.984
LB2241-RCC	KIRC	kidney	kidney	1.81	0.984
BB49-HNC	HNSC	aero_digestive_tract	head_and_neck	1.86	0.969
H-EMC-SS	UNCLASSIFIED	bone	chondrosarcoma	1.87	0.976
NCI-H1666	LUAD	lung	lung_NSCLC_adenocarcinoma	2.08	0.987
NCI-H716	COREAD	digestive_system	large_intestine	2.11	0.979
D-502MG	LGG	nervous_system	glioma	2.18	0.965
CW-2	COREAD	digestive_system	large_intestine	2.36	0.989
EW-11	UNCLASSIFIED	bone	ewings_sarcoma	2.75	0.981
NCI-H128	SCLC	lung	lung_small_cell_carcinoma	3.76	0.971
SW684	UNCLASSIFIED	soft_tissue	fibrosarcoma	4.63	0.981
RCC10RGB	KIRC	kidney	kidney	5.93	0.964
EKVX	LUAD	lung	lung_NSCLC_adenocarcinoma	8.85	0.963
EW-12	UNCLASSIFIED	bone	ewings_sarcoma	9.44	0.978
